Date,price
2015-08-07 00:00:00 UTC,2.83162
2015-08-08 00:00:00 UTC,1.33075
2015-08-10 00:00:00 UTC,0.687585709
2015-08-11 00:00:00 UTC,1.067378879
2015-08-12 00:00:00 UTC,1.256613175
2015-08-13 00:00:00 UTC,1.825395446
2015-08-14 00:00:00 UTC,1.825974891
2015-08-15 00:00:00 UTC,1.670949669
2015-08-16 00:00:00 UTC,1.476607254
2015-08-17 00:00:00 UTC,1.203871431
2015-08-18 00:00:00 UTC,1.281393052
2015-08-19 00:00:00 UTC,1.252738652
2015-08-20 00:00:00 UTC,1.484195074
2015-08-21 00:00:00 UTC,1.406314774
2015-08-22 00:00:00 UTC,1.380721536
2015-08-23 00:00:00 UTC,1.3551821
2015-08-24 00:00:00 UTC,1.246571683
2015-08-25 00:00:00 UTC,1.160828328
2015-08-26 00:00:00 UTC,1.119639156
2015-08-27 00:00:00 UTC,1.133690694
2015-08-28 00:00:00 UTC,1.188895699
2015-08-29 00:00:00 UTC,1.174343905
2015-08-30 00:00:00 UTC,1.32235088
2015-08-31 00:00:00 UTC,1.353368417
2015-09-01 00:00:00 UTC,1.350786689
2015-09-02 00:00:00 UTC,1.278810765
2015-09-03 00:00:00 UTC,1.26277072
2015-09-04 00:00:00 UTC,1.2695201
2015-09-05 00:00:00 UTC,1.334976229
2015-09-06 00:00:00 UTC,1.298883134
2015-09-07 00:00:00 UTC,1.25622344
2015-09-08 00:00:00 UTC,1.236033261
2015-09-09 00:00:00 UTC,1.206529945
2015-09-10 00:00:00 UTC,1.167234841
2015-09-11 00:00:00 UTC,0.976509093
2015-09-12 00:00:00 UTC,1.038203585
2015-09-13 00:00:00 UTC,0.93865215
2015-09-14 00:00:00 UTC,0.874022962
2015-09-15 00:00:00 UTC,0.941823186
2015-09-16 00:00:00 UTC,0.90321992
2015-09-17 00:00:00 UTC,0.883078729
2015-09-18 00:00:00 UTC,0.846070919
2015-09-19 00:00:00 UTC,0.8821038
2015-09-20 00:00:00 UTC,0.936327761
2015-09-21 00:00:00 UTC,0.901092879
2015-09-22 00:00:00 UTC,0.897142265
2015-09-23 00:00:00 UTC,0.894047522
2015-09-24 00:00:00 UTC,0.816037308
2015-09-25 00:00:00 UTC,0.7405193
2015-09-26 00:00:00 UTC,0.777801499
2015-09-27 00:00:00 UTC,0.721358423
2015-09-28 00:00:00 UTC,0.583057005
2015-09-29 00:00:00 UTC,0.65783249
2015-09-30 00:00:00 UTC,0.734763054
2015-10-01 00:00:00 UTC,0.68581219
2015-10-02 00:00:00 UTC,0.676221734
2015-10-03 00:00:00 UTC,0.687475758
2015-10-04 00:00:00 UTC,0.667546858
2015-10-05 00:00:00 UTC,0.628255074
2015-10-06 00:00:00 UTC,0.645657762
2015-10-07 00:00:00 UTC,0.610012697
2015-10-08 00:00:00 UTC,0.623483302
2015-10-09 00:00:00 UTC,0.650768765
2015-10-10 00:00:00 UTC,0.629794942
2015-10-11 00:00:00 UTC,0.637043981
2015-10-12 00:00:00 UTC,0.628787282
2015-10-13 00:00:00 UTC,0.602627272
2015-10-14 00:00:00 UTC,0.517689436
2015-10-15 00:00:00 UTC,0.561499004
2015-10-16 00:00:00 UTC,0.53314802
2015-10-17 00:00:00 UTC,0.549028309
2015-10-18 00:00:00 UTC,0.518444547
2015-10-19 00:00:00 UTC,0.487067298
2015-10-20 00:00:00 UTC,0.432978599
2015-10-21 00:00:00 UTC,0.439768974
2015-10-22 00:00:00 UTC,0.565461507
2015-10-23 00:00:00 UTC,0.540737767
2015-10-24 00:00:00 UTC,0.568573769
2015-10-25 00:00:00 UTC,0.631938809
2015-10-26 00:00:00 UTC,0.74395791
2015-10-27 00:00:00 UTC,0.85445525
2015-10-28 00:00:00 UTC,1.010409721
2015-10-29 00:00:00 UTC,1.163748636
2015-10-30 00:00:00 UTC,1.041849055
2015-10-31 00:00:00 UTC,0.907091628
2015-11-01 00:00:00 UTC,1.058541941
2015-11-02 00:00:00 UTC,0.95504586
2015-11-03 00:00:00 UTC,1.002344803
2015-11-04 00:00:00 UTC,0.901808661
2015-11-05 00:00:00 UTC,0.906601137
2015-11-06 00:00:00 UTC,0.909442199
2015-11-07 00:00:00 UTC,0.922482091
2015-11-08 00:00:00 UTC,1.030499514
2015-11-09 00:00:00 UTC,0.995802985
2015-11-10 00:00:00 UTC,0.934834222
2015-11-11 00:00:00 UTC,0.788761177
2015-11-12 00:00:00 UTC,0.900742067
2015-11-13 00:00:00 UTC,0.904081558
2015-11-14 00:00:00 UTC,0.884228905
2015-11-15 00:00:00 UTC,0.910825548
2015-11-16 00:00:00 UTC,0.933840784
2015-11-17 00:00:00 UTC,0.995273358
2015-11-18 00:00:00 UTC,0.99442858
2015-11-19 00:00:00 UTC,0.951471289
2015-11-20 00:00:00 UTC,0.926803119
2015-11-21 00:00:00 UTC,0.973572434
2015-11-22 00:00:00 UTC,0.964738532
2015-11-23 00:00:00 UTC,0.945220336
2015-11-24 00:00:00 UTC,0.899361135
2015-11-25 00:00:00 UTC,0.867707092
2015-11-26 00:00:00 UTC,0.894874771
2015-11-27 00:00:00 UTC,0.8707128
2015-11-28 00:00:00 UTC,0.917398775
2015-11-29 00:00:00 UTC,0.871744954
2015-11-30 00:00:00 UTC,0.873600932
2015-12-01 00:00:00 UTC,0.875003998
